,Channel Title,Channel Username,ID,Message,Date,Media Path
153,Dubai in Addis,@dubaiinaddis1,31238,"ባለ 3 ፓርቲሽን የምሳ እቃ ከ ውሀ መያዣ እና ሹካ ማንኪያ ጋር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:24:00+00:00,photos\@dubaiinaddis1_31238.jpg
156,Dubai in Addis,@dubaiinaddis1,31235,"ባለ 3 ፓርቲሽን የምሳ እቃ ከ ውሀ መያዣ እና ሹካ ማንኪያ ጋር

1200 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:21:38+00:00,photos\@dubaiinaddis1_31235.jpg
158,Dubai in Addis,@dubaiinaddis1,31233,"ኳሊቲ  2 ፒስ የልጆች ቦርሳ

ለ Grade ተማሪዎች 


2300 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:19:06+00:00,photos\@dubaiinaddis1_31233.jpg
159,Dubai in Addis,@dubaiinaddis1,31232,"ኳሊቲ 3 ፒስ ቦርሳ

2500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:16:04+00:00,photos\@dubaiinaddis1_31232.jpg
160,Dubai in Addis,@dubaiinaddis1,31231,"ኳሊቲ 3 ፒስ ቦርሳ

2500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:13:24+00:00,photos\@dubaiinaddis1_31231.jpg
161,Dubai in Addis,@dubaiinaddis1,31230,"ኳሊቲ 3 ፒስ ቦርሳ

2500 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-16 14:06:54+00:00,photos\@dubaiinaddis1_31230.jpg
162,Dubai in Addis,@dubaiinaddis1,31225,"ቁምጣ በ ቲሸርት 

ከ 1-2 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:32:17+00:00,photos\@dubaiinaddis1_31225.jpg
163,Dubai in Addis,@dubaiinaddis1,31224,"ቁምጣ በ ቲሸርት 

ከ 2-3 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:30:55+00:00,photos\@dubaiinaddis1_31224.jpg
164,Dubai in Addis,@dubaiinaddis1,31219,"ቁምጣ በ ቲሸርት 

ከ 1-2 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:17:05+00:00,photos\@dubaiinaddis1_31219.jpg
165,Dubai in Addis,@dubaiinaddis1,31218,"ቁምጣ በ ቲሸርት 

ከ6 ወር- 1 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:13:18+00:00,photos\@dubaiinaddis1_31218.jpg
166,Dubai in Addis,@dubaiinaddis1,31217,"ቁምጣ በ ቲሸርት 

ከ6 ወር- 1 አመት 

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:11:37+00:00,photos\@dubaiinaddis1_31217.jpg
167,Dubai in Addis,@dubaiinaddis1,31216,"ቁምጣ በ ቲሸርት 

ከ6 ወር- 1 አመት 

800 ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:10:02+00:00,photos\@dubaiinaddis1_31216.jpg
168,Dubai in Addis,@dubaiinaddis1,31215,"ቁምጣ በ ቲሸርት 

ከ 1-2 አመት 

800 ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 14:07:54+00:00,photos\@dubaiinaddis1_31215.jpg
169,Dubai in Addis,@dubaiinaddis1,31214,"ቁምጣ በ ቲሸርት 

ከ6 ወር- 1 አመት  

800 ብር

0913870090

ለማዘዝ

@KiDu_W",2024-09-14 13:59:15+00:00,photos\@dubaiinaddis1_31214.jpg
185,Dubai in Addis,@dubaiinaddis1,31187,"5 ፍሬ ቢብስ( የለሀጭ)

700 ብር 

0913870090

ለማዘዝ

@KiDu_W",2024-09-13 13:20:13+00:00,photos\@dubaiinaddis1_31187.jpg
